Sizes,Alpha,Beta,Broad,High Gam,Low Gam
10,-0.457573612,-0.4473653,-0.369263131,-0.416278546,-0.444870989
100,0.198679275,0.208574775,0.266214214,0.148221924,0.192793594
150,0.265369516,0.258429324,0.275343775,0.198449986,0.246467234
500,0.365598939,0.372269897,0.39130431,0.307893379,0.355239159
850,0.397115957,0.410876719,0.427478097,0.333282432,0.398935968
1000,0.392071946,0.395386511,0.412842404,0.319338808,0.387297843
1500,0.376118837,0.376579995,0.389803578,0.31139884,0.365532304
2000,0.430064935,0.428863773,0.431996669,0.35569737,0.416185406
2500,0.432062865,0.435646053,0.443755588,0.357515704,0.424530711
3000,0.421142372,0.429973724,0.431491897,0.335455398,0.416090308